,ingredientID,ingredients,recipeinfo,recipename,internal_list
37,"1526,18930,5233,16423","white sugar,balsamic vinegar,sliced fresh strawberries,fresh thyme",https://www.allrecipes.com/recipe/283673/strawberry-balsamic-jam/,/283673/,"white sugar,balsamic vinegar,fresh strawberries,fresh thyme"
39,"18426,4342,16397,26958,5107,6d524b0cf154936052a9c48bd6761d37,f0ed9c72fe4cc05e47eb87b4ea1b7837,2750,9c5dcfa759dc151839d5877c0a18e4af,3752,4405,4cd35a42fe85e28ded4766b9c2e7865f","all fruit, no sugar added peach preserves,garlic, minced,ground ginger,Asian chili garlic sauce, or to taste,lemon juice,aluminum foil,cooking spray,salmon (1-inch thick),salt and freshly ground black pepper to taste,sesame seeds,green onion, thinly sliced,lemon juice (optional)",https://www.allrecipes.com/recipe/283674/air-fryer-salmon-with-spicy-peach-glaze/,/283674/,"all fruit, no sugar peach preserves,garlic,ground ginger,Asian chili garlic sauce, or to taste,lemon juice,aluminum foil,cooking spray,salmon (1- thick),salt freshly ground black pepper to taste,sesame seeds,green onion,lemon juice (optional)"
40,"16223,11137,3810,4432,4405,16421","cream cheese, softened,canned crushed pineapple, drained,chopped pecans,chopped green bell pepper,chopped green onion,salt, or to taste",https://www.allrecipes.com/recipe/283679/savory-cream-cheese-and-pineapple-party-dip/,/283679/,"cream cheese,pineapple,pecans,green bell pepper,green onion,salt, or to taste"
41,"f0ed9c72fe4cc05e47eb87b4ea1b7837,6057,19315,5015,1417,1536,2356,16424,16421,21172","cooking spray,rolled oats,almond milk,ripe banana, mashed,cocoa powder,maple syrup,baking powder,vanilla extract,salt,vegan chocolate chips",https://www.allrecipes.com/recipe/283690/vegan-chocolate-blended-baked-oats/,/283690/,"cooking spray,oats,almond milk,ripe banana,cocoa powder,maple syrup,baking powder,vanilla extract,salt,vegan chocolate chips"
42,"20700,2496,3522,16258,16294,20382,25418,16259","ground coffee beans,water,cold brew coffee,whipping cream,sweetened condensed milk,ice cubes,sugar-free chocolate flavoring syrup (such as Torani®),whipped cream for garnish",https://www.allrecipes.com/recipe/283686/sarahs-wake-up-coffee-drink/,/283686/,"ground coffee beans,water,cold brew coffee,whipping cream,sweetened milk,ice,sugar-free chocolate flavoring syrup (such Torani®),cream for garnish"
43,"16157,5110,5107,16409,1502","salted butter, softened,lemon, zested,lemon juice,poppy seeds,honey",https://www.allrecipes.com/recipe/283683/lemon-poppy-seed-compound-butter/,/283683/,"butter,lemon,lemon juice,poppy seeds,honey"
44,"19315,1536,1636,16424","unsweetened almond milk,maple syrup,cornstarch,vanilla extract",https://www.allrecipes.com/recipe/283685/dairy-free-coffee-creamer/,/283685/,"unsweetened almond milk,maple syrup,cornstarch,vanilla extract"
45,16317,eggs,https://www.allrecipes.com/recipe/283684/sous-vide-hard-boiled-eggs/,/283684/,eggs
46,"16339,4397,4292,3707,4342,20316,23274,3452,21076,4267,3139,ba45e437c0d5783d17b992abd8c67874","unsalted butter,onion, chopped,celery, chopped,baby carrots, chopped,minced garlic,red potatoes, chopped,vegetable broth,beer,coarse-grain mustard,shredded cabbage,chopped cooked corned beef,salt and ground black pepper to taste",https://www.allrecipes.com/recipe/283737/saint-patricks-soup/,/283737/,"butter,onion,celery,baby carrots,garlic,potatoes,vegetable broth,beer,coarse-grain mustard,cabbage,corned beef,salt ground black pepper to taste"
47,"1684,1526,16421,2356,16278,16339,16258,3494","all-purpose flour,white sugar,salt,baking powder,milk,unsalted butter, melted and cooled,heavy cream,lemon-lime flavored carbonated beverage",https://www.allrecipes.com/recipe/283702/swedish-crisp-waffles-frasvafflor/,/283702/,"all-purpose flour,white sugar,salt,baking powder,milk,butter,heavy cream,lemon-lime carbonated beverage"
48,"1670,16421,2496","durum wheat semolina flour (such as Bob's Red Mill®),salt,water, or as needed, at room temperature",https://www.allrecipes.com/recipe/280355/homemade-cavatelli-pasta/,/280355/,"durum wheat semolina flour (such Bob's Mill®),salt,water, or, at room temperature"
49,"2496,16339,16421,1684,1684,16317,16229,5267","water,unsalted butter,salt,all-purpose flour,all-purpose flour,eggs,grated Gruyere cheese,deli ham, finely chopped",https://www.allrecipes.com/recipe/268841/gougeres-with-ham/,/268841/,"water,butter,salt,all-purpose flour,all-purpose flour,eggs,Gruyere cheese,deli ham"
